#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing),,,,
,xorg-server,is the graphical server.,,,,
,xorg-xwininfo,allows querying information about windows.,,,,
,xorg-xinit,starts the graphical server.,,,,
,ttf-linux-libertine,provides the sans and serif fonts for LARBS.,,,,
,arandr,is a UI for screen adjustment.,,,,
,bc,is used for a dropdown calculator.,,,,
,calcurse,is a lightweight terminal-based calendar.,,,,
,xcompmgr,is for transparency and removing screen-tearing.,,,,
,xorg-xprop,is a tool for detecting window properties.,,,,
,xclip,is a tool for clipboard management.,,,,
,dosfstools,allows your computer to access dos-like filesystems.,,,,
,libnotify,allows desktop notifications.,,,,
,dunst,is a suckless notification system.,,,,
,exfat-utils,allows management of FAT drives.,,,,
,sxiv,is a minimalist image viewer.,,,,
,ffmpeg,can record and splice video and audio on the command line.,,,,
,gnome-keyring,serves as the system keyring.,,,,
,neovim,a tidier vim with some useful features,,,,
,mpv,is the patrician's choice video player.,,,,
,cmus,is the patrician's choice music player.,,,,
,man-db,lets you read man pages of programs.,,,,
,noto-fonts-emoji,is an emoji font.,,,,
,ttf-joypixels,is an emoji font.,,,,
,ntfs-3g,allows accessing NTFS partitions.,,,,
,pulseaudio-alsa,is the audio system.,,,,
,pulsemixer,is an audio controller.,,,,
,pamixer,is a command-line audio interface.,,,,
A,sc-im,is an Excel-like terminal spreadsheet manager.,,,,
,maim,can take quick screenshots at your request.,,,,
,abook,is an offline addressbook usable by neomutt.,,,,
,unclutter,hides an inactive mouse.,,,,
,unrar,extracts rar's.,,,,
,unzip,unzips zips.,,,,
,elinks,is a terminal browser.,,,,
,xcape,gives the special escape/super mappings of LARBS.,,,,
,xclip,allows for copying and pasting from the command line.,,,,
,xdotool,provides window action utilities on the command line.,,,,
,xorg-xdpyinfo,aids with resolution determination and screen recording.,,,,
,youtube-dl,can download any YouTube video (or playlist or channel) when given the link.,,,,
,zathura,is a pdf viewer with vim-like bindings.,,,,
,zathura-pdf-mupdf,allows mupdf pdf compatibility in zathura.,,,,
,poppler,manipulates .pdfs and gives .pdf previews and other .pdf functions.,,,,
,mediainfo,shows audio and video information.,,,,
,atool,manages and gives information about archives.,,,,
,fzf,is a fuzzy finder tool.,,,,
,highlight,can highlight code output.,,,,
,xorg-xbacklight,enables changing screen brightness levels.,,,,
A,task-spooler,queues commands or files for download.,,,,
A,simple-mtpfs-git,enables the mounting of cell phones.,,,,
G,https://github.com/imrufbd/dwmblocks.git,serves as the modular status bar.,,,,
G,https://github.com/imrufbd/dmenu.git,runs commands and provides a UI for selection.,,,,
G,https://github.com/imrufbd/st.git,is my custom build of suckless's terminal emulator.,,,,
G,https://github.com/lukesmithxyz/dwm.git,is the window manager.,,,,
G,https://github.com/lukesmithxyz/slock.git,is the window manager.,,,,
A,mutt-wizard-git,is a light-weight terminal-based email system.,,,,
