#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,is the graphical server.
,xorg-xwininfo,allows querying information about windows.
,xorg-xinit,starts the graphical server.
,ttf-linux-libertine,provides the sans and serif fonts for LARBS.
,arandr,is a UI for screen adjustment.
,bc,is used for a dropdown calculator.
,xcompmgr,is for transparency and removing screen-tearing.
,xorg-xprop,is a tool for detecting window properties.
,libnotify,allows desktop notifications.
,dunst,is a suckless notification system.
,gnome-keyring,serves as the system keyring.
,man-db,lets you read man pages of programs.
,noto-fonts-emoji,is an emoji font.
,maim,can take quick screenshots at your request.
,abook,is an offline addressbook usable by neomutt.
,xclip,allows for copying and pasting from the command line.
,xdotool,provides window action utilities on the command line.
,xorg-xdpyinfo,aids with resolution determination and screen recording.
G,https://github.com/imrufbd/dwmblocks.git,serves as the modular status bar.
G,https://github.com/imrufbd/dmenu.git,runs commands and provides a UI for selection.
G,https://github.com/imrufbd/st.git,is my custom build of suckless's terminal emulator.
G,https://github.com/imrufbd/dwm.git,is the window manager.
